0001	0,659295	0,243525	0,982700	0,000000
0002	0,475825	0,224525	0,999200	7,526450
0003	0,475760	0,224375	0,999100	7,504275
0004	0,479638	0,222425	0,999300	7,505975
0005	0,469645	0,216025	0,998500	7,503275
0006	0,473780	0,216050	0,999300	7,503175
0007	0,482867	0,231425	0,999100	7,503925
0008	0,474121	0,216325	0,998800	7,499775
0009	0,483666	0,221800	0,998800	7,501850
0010	0,476133	0,224275	0,998900	7,501825
0011	0,475434	0,225325	0,998900	7,504150
0012	0,479525	0,226750	0,999100	7,502500
0013	0,473244	0,222525	0,999300	7,499400
0014	0,479464	0,218300	0,999000	7,502525
0015	0,472494	0,221325	0,998600	7,501750
0016	0,483027	0,222375	0,998900	7,499400
0017	0,481321	0,226275	0,998900	7,500675
0018	0,471183	0,216425	0,999300	7,503350
0019	0,481745	0,226750	0,998900	7,499825
0020	0,476354	0,216800	0,999300	7,503750
0021	0,476403	0,220550	0,998900	7,502850
0022	0,480063	0,220200	0,999300	7,501850
0023	0,479363	0,217925	0,998900	7,500825
0024	0,481947	0,220050	0,998900	7,504325
0025	0,479477	0,225675	0,998500	7,503425
0026	0,479358	0,221475	0,998600	7,501725
0027	0,478561	0,222050	0,999200	7,501350
0028	0,478885	0,218725	0,998300	7,505500
0029	0,475965	0,213775	0,999100	7,503300
0030	0,478458	0,226550	0,999300	7,502325
0031	0,477304	0,222325	0,999200	7,501250
0032	0,475516	0,222075	0,998300	7,500525
0033	0,474556	0,222850	0,998800	7,502250
0034	0,470849	0,221950	0,998900	7,501850
0035	0,473183	0,225600	0,998900	7,504300
0036	0,476252	0,219400	0,998800	7,502900
0037	0,479947	0,224400	0,998800	7,501100
0038	0,473279	0,225450	0,999200	7,501550
0039	0,476438	0,225025	0,999200	7,500525
0040	0,477213	0,225550	0,998800	7,500025
0041	0,479277	0,224600	0,999000	7,503300
0042	0,477237	0,213875	0,999000	7,499525
0043	0,479812	0,225325	0,999100	7,499650
0044	0,480675	0,218600	0,998800	7,504800
0045	0,474694	0,212975	0,999200	7,500675
0046	0,471336	0,223275	0,999200	7,500150
0047	0,478991	0,222650	0,998900	7,502050
0048	0,474523	0,219025	0,998700	7,499900
0049	0,471463	0,219900	0,998500	7,499575
0050	0,475172	0,222700	0,999100	7,504025
