0,0.6681323719265312,0.5007,0.9827,0.0,173
1,0.44650878133823896,0.5007,0.9524,0.3709,476
2,0.3337780911213093,0.50065,0.9749,0.258075,251
0,0.6681323719265312,0.5007,0.9827,0.0,173
1,0.44650878133823896,0.5007,0.9524,0.3709,476
2,0.3337780911213093,0.50065,0.9749,0.258075,251
0,0.6681323719265312,0.5007,0.9827,0.0,173
1,0.44650878133823896,0.5007,0.9524,0.3709,476
2,0.3337780911213093,0.50065,0.9749,0.258075,251
0,0.6681323719265312,0.5007,0.9827,0.0,173
1,0.44650878133823896,0.5007,0.9524,0.3709,476
2,0.3337780911213093,0.50065,0.9749,0.258075,251
0,0.8491608508620412,0.6405,0.8644,0.0,1356
1,0.6149310268223985,0.6364,0.8902,0.37425,1098
0,0.8491608508620412,0.6405,0.8644,0.0,1356
1,0.6149310268223985,0.6364,0.8902,0.37425,1098
